t mart.s0 mart.sn aust.s0 aust.sn
3.171586e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.176588e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.181591e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.186593e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.191596e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.196598e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.201601e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.206603e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.211606e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.216608e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.221611e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.226613e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.231616e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.236618e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.241621e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.246623e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.251626e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.256628e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.261631e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.266633e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.271636e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.276638e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.281641e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.286643e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.291646e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.296648e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.301651e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.306653e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.311656e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.316658e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.321661e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.326663e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.331666e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.336668e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.341671e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.346673e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.351676e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.356678e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.361681e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.366683e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.371686e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.376688e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.381691e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.386693e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.391696e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.396698e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.401701e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.406703e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.411706e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.416708e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.421711e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.426713e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.431716e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.436718e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.441721e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.446723e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.451726e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.456728e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.461731e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.466733e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
